brand,channel,weeks,holdout_weeks,volume,unpooled_wmape,unpooled_n_vars,pooled_wmape,hier_wmape,best_level,shrink
Brand 4,Channel 4,104,13,23651973.512650076,28.25708368285045,6,9.666448654207088,10.679780019541326,pooled,1.0
Brand 4,Channel 5,104,13,446462.6972473511,7.289905704672359,4,306.69499527704545,13.433479355938434,unpooled,1.0
Brand 4,Channel 6,104,13,5817431.725205004,26.523117891624075,4,22.125256765942176,24.832831330987908,pooled,1.0
Brand 4,Channel 7,104,13,65809.03152040811,4.468714625903378,5,3022.429310188135,11.902762816270544,unpooled,1.0
Brand 4,Channel 9,104,13,3395069.9290560484,5.414638483301893,7,33.555103977534735,3.563379265874726,hierarchical,1.0
Brand 5,Channel 1,104,13,5388226.845469106,7.776910050576171,8,7.93985539726242,6.108208258655488,hierarchical,1.0
Brand 5,Channel 2,104,13,380566.6895400333,12.45972617207242,6,55.1573150761222,27.37859736694214,unpooled,1.0
Brand 5,Channel 3,104,13,4043183.4391235486,11.304554119154876,5,13.182388199071838,12.79440910345952,unpooled,1.0
Brand 5,Channel 4,104,13,383636.04144662607,7.846496943478643,8,91.73574360998946,21.302843372269255,unpooled,1.0
Brand 5,Channel 5,104,13,366667.8816383119,21.141143461388634,7,68.3664269354466,9.361405657161589,hierarchical,1.0
Brand 5,Channel 7,104,13,15014.56352340312,11.871410665397795,8,2422.529735809989,61.28142618497605,unpooled,1.0
Brand 5,Channel 9,104,13,579724.9197372178,4.108582564998687,10,81.7030642718572,13.2183632108489,unpooled,1.0
Brand 6,Channel 1,104,13,18429706.01141847,15.581663528480172,8,4.364627864333757,4.364627864333759,pooled,0.0
Brand 6,Channel 2,104,13,516989.71760867914,359.3900013409042,6,1748.4965789333085,1748.4965789333185,unpooled,0.0
Brand 6,Channel 3,104,13,440940.64674903144,31.047777419371542,5,37.42617767124937,37.42617767124838,unpooled,0.0
Brand 6,Channel 4,104,13,439894.14105610177,163.01511292786367,5,39.37731596078912,39.37731596078825,hierarchical,0.0
Brand 6,Channel 5,104,13,5569576.076137425,1.670003193767907,4,8.79449575390652,8.794495753906526,unpooled,0.0
Brand 6,Channel 6,104,13,268544.8125,71.72835709426407,4,111.28276889348918,111.28276889348933,unpooled,0.0
Brand 6,Channel 7,104,13,78979.52649076987,5.76730248934383,9,77.83151161871531,77.83151161871473,unpooled,0.0
Brand 6,Channel 9,104,13,11631770.808485147,15.909020380644497,4,4.231206018780225,4.231206018780231,pooled,0.0
Brand 7,Channel 1,104,13,11002312.068417266,8.577292402325789,6,18.709738202596153,18.709738202596167,unpooled,0.0
Brand 7,Channel 2,104,13,604818.0001811609,7.418639274231655,6,16.512548913822133,16.512548913822126,unpooled,0.0
Brand 7,Channel 3,104,13,7298322.826812027,13.77750155421407,6,15.29578332936563,15.295783329365653,unpooled,0.0
Brand 7,Channel 4,104,13,1033762.0935011138,3.2941237151912794,5,12.13010482717284,12.130104827172865,unpooled,0.0
Brand 7,Channel 5,104,13,1509238.0032248953,6.095755588484763,5,15.670161989476242,15.670161989476231,unpooled,0.0
Brand 7,Channel 7,104,13,26094.067816855422,22.51237651193712,10,2702.215493984372,2702.2154939843717,unpooled,0.0
Brand 7,Channel 9,104,13,1134895.077062375,21.304532931218816,4,54.958348122701295,54.958348122701295,unpooled,0.0
Brand 8,Channel 1,104,13,23856146.229474217,11.28455718996442,12,14.629705174438676,14.629705174439,unpooled,0.0
Brand 8,Channel 2,104,13,1537552.9413255216,8.036736613452396,8,14.823061396684212,14.823061396684212,unpooled,0.0
Brand 8,Channel 3,104,13,12143222.178183615,19.367332591259075,9,9.74177216358202,9.74177216358202,pooled,0.0
Brand 8,Channel 4,104,13,1634332.5946620775,14.02508094658225,4,44.13388954173849,44.13388954173849,unpooled,0.0
Brand 8,Channel 5,104,13,4301970.9213999305,13.243282915723592,4,6.713836635647692,6.7138366356477786,pooled,0.0
Brand 8,Channel 6,104,13,623248.3125,58.5075164637579,10,257.78095335902896,257.78095335902964,unpooled,0.0
Brand 8,Channel 7,104,13,162894.59495655328,61.24238347828296,14,1951.1316629265955,1951.1316629265839,unpooled,0.0
Brand 8,Channel 9,104,13,4990477.627772042,9.907804911057823,12,20.28398242035129,20.28398242035129,unpooled,0.0
Brand 9,Channel 1,104,13,15640498.98799153,18.352394234438528,5,22.949142772489186,4.958732545825381,hierarchical,1.0
Brand 9,Channel 2,104,13,721462.5920766697,14.096222207124281,7,123.03283703395398,7.438155921515362,hierarchical,1.0
Brand 9,Channel 3,104,13,8555635.30059548,34.890971831277504,7,7.310602352212321,9.76898564476198,pooled,1.0
Brand 9,Channel 4,104,13,781009.4440905328,4.288910837311126,8,36.69553607075974,3.8893635705707497,hierarchical,1.0
Brand 9,Channel 5,104,13,881770.4418156431,16.037559318806675,6,91.2112044728565,7.631329733595026,hierarchical,1.0
Brand 9,Channel 6,67,13,597456.8390075862,22.477868730619882,3,53.95651865815524,15.855379135543718,hierarchical,1.0
Brand 9,Channel 7,104,13,89779.99178999706,19.484641648838807,11,2573.8123471552167,18.292438953719024,hierarchical,1.0
Brand 9,Channel 9,104,13,4734846.970692293,18.143341570573014,9,11.80919624242511,77.61142699623191,pooled,1.0
Brand 10,Channel 1,104,13,49587730.43480524,2.843200376668143,9,8.951299989406316,11.901659063433971,unpooled,0.75
Brand 10,Channel 2,104,13,3373393.0710038105,8.421328186844532,9,68.4436085877113,12.166029250341948,unpooled,0.75
Brand 10,Channel 3,104,13,14968474.674201515,3.517236521225876,3,12.109462637966685,12.529058176080216,unpooled,0.75
Brand 10,Channel 4,104,13,5198437.730341175,5.978339803102594,10,9.293485153370092,35.634321158688735,unpooled,0.75
Brand 10,Channel 5,104,13,1718177.3919845633,4.721492163825918,8,19.704006909960356,37.29873153873702,unpooled,0.75
Brand 10,Channel 6,104,13,14197173.571260877,4.590808814134788,4,13.722747386006887,17.639409693374,unpooled,0.75
Brand 10,Channel 7,104,13,229027.9969988129,17.024227049265868,5,563.3106377265624,54.455188080869235,unpooled,0.75
Brand 10,Channel 9,104,13,13276439.070018299,21.32033238443849,10,76.17860740626402,42.903909220767304,unpooled,0.75
